rank,song_id,title,singers,album,date,genre,creator,lyric,singer_id,debut,singer_type,singer_gender,company,bthday
7,47203,"촛불켜는 밤",양하영,"촛불켜는 밤",1988.06.29,Folk,양하영,"난 이 밤 그댈 잊지못해 촛불을 켭니다 내 창가에 예쁜 촛불을 그댄 보시나요 안개 낀 밤 나는 그대 그리워 촛불을 켭니다 지쳐버린 내 마음을 그댄 아시나요 그대 향한 나의 사랑은 내 나이 너무 어려서 그대 웃음 바람따라 바람따라 지나 갔나요 낮은 목소리로 노랠 부르면 그댄 오시나요 내 두눈에 눈물 고이면 그댄 오시나요  그대 향한 나의 사랑은 내 나이 너무 어려서 그대 웃음 바람따라 바람따라 지나 갔나요 낮은 목소리로 노랠 부르면 그댄 오시나요 내 두눈에 눈물 고이면 그댄 오시나요 촛불 켜는 밤에 그대 오시나요",5524,1988.06,솔로,여성,,1963.01.14
6,47313,"널 그리며",박남정,"박남정 골든",1988.05,Dance,박남정,"별빛 반짝이는 저 하늘 아래 도시의 가로등 웃음 지을때 난 무슨 생각에 잠겨 있는지 아무런 말 없이 홀로 거니네 외로운 밤 소리없이 어디론지 가고 싶어 흘러가는 구름처럼 정처없는 이 내 발걸음 허전한 내 마음 그대는 알거야 귓가에 맴도는 그대의 속삭임 왜 이리 내 마음 적시어 있는지 애타는 마음을 너는 알겠지 왜 난 이리 널 그리는 걸까 왜 내 모습 보이지 않는 걸까 넌 내 마음을 알고 있겠지 우린 서로 사랑하니까  어둑 어둑해진 밤 하늘 아래 어딘가 들리는 휘파람 소리 난 무슨 생각에 잠겨 있는지 아무런 말 없이 홀로 거니네 외로운 밤 소리없이 어디론지 가고 싶어 흘러가는 구름처럼 정처없는 이 내 발걸음 허전한 내 마음 그대는 알거야 귓가에 맴도는 그대의 속삭임 왜 이리 내 마음 적시어 있는지 애타는 마음을 너는 알겠지 왜 난 이리 널 그리는 걸까 왜 내 모습 보이지 않는 걸까 넌 내 마음을 알고 있겠지 우린 서로 사랑하니까  왜 난 이리 널 그리는 걸까  왜 내 모습 보이지 않는 걸까 넌 내 마음을 알고 있겠지 우린 서로 사랑하니까  왜 난 이리 널 그리는 걸까 왜 내 모습 보이지 않는 걸까 넌 내 마음을 알고 있겠지 우린 서로사랑하니까",5303,1988.02,솔로,남성,,1966.04.19
3,47403,"홀로 된다는 것",변진섭,"홀로 된다는 것",1988.06.15,Ballad,지예,"아주 덤덤한 얼굴로 나는 뒤돌아 섰지만 나에 허무한 마음은 가눌 길이 없네 아직 못다한 말들이 내게 남겨져 있지만 아픈 마음에 목이 메어와 아무말 못했네 지난 날들을 되새기며 수많은 추억을 헤이며 길고 긴밤을 세워야지 나의 외로움 달래야지 이별은 두렵지 않아 눈물은 참을수 있어 하지만 홀로 된다는 것이 나를 슬프게 해  지난 날들을 되새기며 수많은 추억을 헤이며 길고 긴밤을 세워야지 나의 외로움 달래야지 이별은 두렵지 않아 눈물은 참을수 있어 하지만 홀로 된다는 것이 나를 슬프게 해",1128,1988.06,솔로,남성,투비스타,1966.07.30
6,47404,"네게 줄수 있는건 오직 사랑뿐",변진섭,"홀로 된다는 것",1988.06.15,Ballad,지근식,"표정없는 세월을 보며 흔들리는 너에게 아무것도 줄 수 없는 내가 미웠어 내가 미웠어  불빛없는 거릴 걸으며 헤매이는 너에게 꽃 한송이 주고 싶어 들녘 해바라기를 새들은 왜 날아가나 바람은 왜 불어오나 내 가슴 모두 태워 줄 수 있는건 오직 사랑뿐 오직 사랑뿐  새들은 왜 날아가나 바람은 왜 불어오나 내 가슴 모두 태워 줄 수 있는건 오직 사랑뿐 오직 사랑뿐 내게 줄 수 있는건 오직 사랑뿐 내게 줄 수 있는건 오직 사랑뿐 내게 줄 수 있는건 오직 사랑뿐 내게 줄 수 있는건 오직 사랑뿐",1128,1988.06,솔로,남성,투비스타,1966.07.30
10,47405,"너무 늦었잖아요",변진섭,"홀로 된다는 것",1988.06.15,Ballad,지근식,"부드러운 그 입술로 내게 다가와 나를 사랑한다 말한다 해도 이미 멀어져 버린 그대 차가운 마음 나는 느껴왔어요 지나버린 추억들을 생각해 보면 너무 아름답고 소중하지만 찻잔 속에 담겨진 그대 메마른 눈빛 이젠 떠나가세요 차가워진 밤 거리를 홀로 걸으며 맑은 별빛 바라보다 한줄기 흐르는 이내 눈물은 무얼 의미하나요 그대여 그대여 다시 사랑하고 싶지만 너무 늦었잖아요 우리 사랑하기엔 하기엔  차가워진 밤 거리를 홀로 걸으며 맑은 별빛 바라보다 한줄기 흐르는 이내 눈물은 무얼 의미하나요 그대여 그대여 다시 사랑하고 싶지만 너무 늦었잖아요 우리 사랑하기엔 하기엔",1128,1988.06,솔로,남성,투비스타,1966.07.30
8,47535,"사랑의 슬픔",이치현과벗님들,"이치현과 벗님들 전집",1989.03.10,Rock,하지영,"하늘엔 흰눈이 내리고 거리에는 오가는 사람들 무슨 생각에 걸어 왔는지 알 수 없어요 달리는 창가에 흐르는 눈꽃처럼 허무한 사랑에 눈을 감으면 그대 생각에 가슴이 시려워요 아 속삭이듯 다가와 나를 사랑한다고 아 헤어지며 하는 말 나를 잊으라고 거리엔 흰눈이 쌓이고 내 가슴엔 사랑의 슬픔이 피어나지 못할 눈꽃이 되어 빈 가슴을 적시네  아 속삭이듯 다가와 나를 사랑한다고 아 헤어지며 하는 말 나를 잊으라고 거리에 흰눈이 쌓이고 내 가슴엔 사랑의 슬픔이 그대 가슴 안에 흩어져버린 눈꽃이 되었나요",101022,1979.11,그룹,남성,,
6,47536,"잃어버린 계절",이치현과벗님들,"이치현과 벗님들 전집",1989.03.10,Rock,,"흐르는 세월을 잡을수는 없지만 뒹구는 낙엽의 몸짓은 너무 쓸쓸해 스쳐간 과거는 다시올순 없지만 노을에 물드는 그빛은 너무 무정해 여위어가는 내 가슴 속에는 갈곳을 잃은 별빛되어 흐르네  잃어버린 날 찾고싶어 잃어버린 시간 찾고싶어 잃어버린 날 찾고싶어 잃어버린 계절 찾고싶어  떠나간 철새는 다시 돌아오지만 꿈속에 멀어진 날들은 너무 쓸쓸해 내일을 모르는 인생을 간직하지만 순간에 잊혀진 얼굴은 너무 무정해 여위어가는 내 가슴 속에는 갈곳을 잃은 별빛되어 흐르네 잃어버린 날 찾고싶어 잃어버린 시간 찾고싶어 잃어버린 날 찾고싶어 잃어버린 계절 찾고싶어 잃어버린 날 찾고싶어 잃어버린 시간 찾고싶어 잃어버린 날 찾고싶어",101022,1979.11,그룹,남성,,
10,48103,마도요,조용필,"사랑과 인생과 나",1987.05.10,Ballad,박건호,"화려한 네온싸인 깜박일 때면 언제나 도시는 우리들의 것 저마다 목놓아 소리치지만 허전한 가슴을 씻어낼수 없어 아쉬워 하면서 떠나네 바다를 헤매이는 철새들처럼 마도요 우리는 서로 앞서가려 하지만 마도요 젊음의 꿈을 찾는 우린 나그네 머물수는 없어라 내일의 이야기를 나누다보면 언제나 세상은 우리들의 것 저마다 옳다고 우겨대지만 아무도 들어주는 사람들이 없어 아쉬워 하면서 떠나네 바다를 헤매이는 철새들처럼 마도요 우리는 서로 앞서가려 하지만 마도요 젊음의 꿈을 찾는 우린 나그네 머물수는 없어라 마도요  아쉬워 하면서 떠나네 바다를 헤매이는 철새들처럼 마도요 우리는 서로 앞서가려 하지만 마도요 젊음의 꿈을 찾는 우린 나그네 머물수는 없어라 마도요 우리는 서로 앞서가려 하지만 마도요 젊음의 꿈을 찾는 우린 나그네 머물수는 없어라 마도요",19,1969,솔로,남성,YPC프로덕션,1950.03.21
3,48158,저녁놀,전영록,"전영록 베스트 콜렉션",1988,Ballad,,"이 어둠이 오기전에 나를 데려가주오 장미빛 그을린 저곳으로 나를 데려가주오 깊은밤이 오기전에 나를 머물게 해주오 그녀의 하얀볼이 빨갛게 보이니까요 이 세상 모든 행복이 나의 마음 속에서 언제까지나 언제까지나 영원하니까 깊은밤이 오기전에 나를 머물게 해주오 그녀의 하얀볼이 빨갛게 보이니까요  이세상 모든 행복이 나의 마음 속에서 언제까지나 언제까지나 영원하니까 깊은밤이 오기전에 나를 머물게 해주오 그녀의 하얀볼이 빨갛게 보이니까요 빨갛게 보이니까요",23,1981,솔로,남성,R-엔터테인먼트,1954.03.26
11,48161,"이제 자야하나봐",전영록,"전영록 베스트 콜렉션",1988,Dance,,"이제 자야 하나봐 그대 오지 않는데 괜시리 나는 너를 기다리나봐 이제 자야 하나봐 작은 나의 마음은 하지만 나는 이 밤 지새워야지 누군가 다가와 이제 자야 하나봐 그대 오지 않는데 괜시리 나는 너를 기다리나봐 이제 자야 하나봐 작은 나의 마음은 하지만 나는 이 밤 지새워야지 누군가 다가와 하 또 다시 먼동이 터오고 새벽이 다가 오는데 아무도 날 찾는 이 없어 이제는 자야하니까 누군가 누군가 하 누군가  이제 자야 하나봐 그대 오지 않는데 괜시리 나는 너를 기다리나봐 이제 자야 하나봐 작은 나의 마음은 하지만 나는 이 밤 지새워야지 누군가 다가와 하 또 다시 먼동이 터오고 새벽이 다가 오는데 아무도 날 찾는 이 없어 이제는 자야하니까 누군가 누군가 하 누군가 누군가 하 누군가 다가와 쉿",23,1981,솔로,남성,R-엔터테인먼트,1954.03.26
10,48162,하얀밤에,전영록,"전영록 베스트 콜렉션",1988,Ballad,,"비 쏟아지는 밤에 먼 추억으로 나는 가리 비세차게 내려다오 내 뺨위에 흐르는 눈물을 감추도록 눈물을 바람 불어오는 밤에 먼 추억으로 나는 가리 바람 세차게 불어다오 헝클어진 머리가 아무도 모르게 아무도 비바람이 불어와 모든것이 날아가 버릴지라도 빗소리만 하얗게 나를 감싸네 그대 떠난 이밤에 하염없이 눈물이 흘러내려도 빗소리만 하얗게 나를 감싸네 감싸네  비 쏟아지는 밤에 먼 추억으로 나는 가리 비 세차게 내려다오 내 빰위에 흐르는 눈물을 감추도록 눈물을 비바람이 불어와 모든것이 날아가 버릴지라도 빗소리만 하얗게 나를 감싸네 그대 떠난 이밤에 하염없이 눈물이 흘러내려도 빗소리만 하얗게 나를 감싸네 감싸네 감싸네 그대 떠난 이밤에",23,1981,솔로,남성,R-엔터테인먼트,1954.03.26
9,48180,누구없소?,한영애,바라본다,1988.09,"Blues,Rock",,"여보세요 거기 누구없소 어둠은 늘 그렇게 벌써 깔려있어 창문을 두드리는 달빛에 대답하듯 검어진 골목길에 그냥 한번 불러봤어 날 기억 하는 사람들은 지금 모두 오늘밤도 편안히들 주무시고 계시는지 밤이 너무 긴것같은 생각에 아침을 보려 아침을 보려하네 나와 같이 누구 아침을 볼 사람 거기 없소 누군가 깨었다면 내게 대답해주 여보세요 거기 누구없소 새벽은 또 이렇게 나를 깨우치려 유혹의 저녁빛에 물든 내 모습 지워주니 그것에 감사하듯 그냥 한번 불러봤어 오늘을 기억 하는 사람들은 지금 벌써 하루를 시작하려 바삐들 움직이고 아침이 정말 올까하는 생각에 이제는 자려 이제는 자려하네 잠을 자는 나를 깨워 줄 이 거기 누구없소 누군가 아침되면 나좀 일으켜주 누군가 아침되면 나좀 일으켜주 누군가 아침되면 나좀 일으켜주",1027,1986,솔로,여성,,1959.07
8,48187,루씰,한영애,바라본다,1988.09,"Blues,Rock",,"루씰 풀밭같은 너의 소리는 때론 아픔으로 때론 평화의 강으로 그의 마음속에 숨은 정열들을 깨워주는 아침 알고 있나 루씰 그는 언제나 아 너를 사랑하네 루씰 금속같은 너의 노래는 때론 땅위에서 때론 하늘 저 끝에서 그의 영혼 속에 가리워진 빛을 찾게 하는 믿음 알고 있나 루씰 그는 언제나 아 너와 함께 있네 루씰 수줍은 듯 너의 모습은 때론 토라지듯 때론 다소곳하여 그의 작은 손짓에도 온몸을 떠는 바다속의 고요 알고 있나 루씰 나도 너처럼 아 소리를 갖고싶어",1027,1986,솔로,여성,,1959.07
9,48221,"신사동 그사람",주현미,"신사동 그 사람/스카이라운지에서",1988.08.01,"Adult Contemporary",정은이,"희미한 불빛사이로 마주치는 그 눈길 피할 수 없어 나도 몰래 사랑을 느끼며 만났던 그 사람 행여 오늘도 다시 만날까 그날밤 그 자리에 기다리는데 그 사람 오지않고 나를 울리네 시간은 자정넘어 새벽으로 가는데 아 그날밤 만났던 사람 나를 잊으셨나봐 희미한 불빛사이로 오고가던 그 눈길 어쩔 수 없어 나도 몰래 마음을 주면서 사랑한 그 사람 오늘밤도 행여 만날까 그날밤 그 자리에 마음 설레며 그 사람 기다려도 오지를 않네 자정은 벌써 지나 새벽으로 가는데 아 내 마음 가져간 사람 신사동 그 사람 희미한 불빛사이로 마주치는 그 눈길 피할 수 없어 나도 몰래 사랑을 느끼며 만났던 그 사람 행여 오늘도 다시 만날까 그날밤 그 자리에 기다리는데 그 사람 오지않고 나를 울리네 시간은 자정 넘어 새벽으로 가는데 아 그날밤 만났던 사람 나를 잊으셨나봐",1173,1985,솔로,여성,,1961.09.27
5,48232,영,이선희,"영/알고 싶어요",1988.08.30,Dance,권혁식,"영! 책갈피에 꽂아둔 영! 은행잎은 퇴색해도 영! 못견디게 보고싶은 영 음~ 넌 지금 어디에 영! 나만 혼자 외로이 영! 남겨두고 어디갔니 영! 다시 내게 올 수 없니 영 음~ 난 너를 사랑해  땅거미 등에지고 강가에 앉아 풀꽃반지 끼워주며 속삭인 그 말 영! 너는 잊었니 벌써 잊었니 돌아와 줘 나는 너를 너를 사랑해 영! 책갈피에 꽂아둔 영! 은행잎은 퇴색해도 영! 못견디게 보고싶은 영 음~ 넌 지금 어디에  땅거미 등에지고 강가에 앉아 풀꽃반지 끼워주며 속삭인 그 말 영! 너는 잊었니 벌써 잊었니 돌아와 줘 나는 너를 너를 사랑해 영! 책갈피에 꽂아둔 영! 은행잎은 퇴색해도 영! 못견디게 보고싶은 영 음~ 난 너를 사랑해",966,1984,솔로,여성,후크엔터테인먼트,1964.11.11
4,48234,"알고 싶어요",이선희,"영/알고 싶어요",1988.08.30,Ballad,양인자,"달밝은 밤에 그대는 누구를 생각하세요  잠이 들면 그대는 무슨 꿈 꾸시나요  깊은 밤에 홀로 깨어 눈물 흘린적 없나요  때로는 일기장에 내 얘기도 쓰시나요  나를 만나 행복했나요 나의 사랑을 믿나요  그대 생각하다보면 모든게 궁금해요    하루 중에서 내 생각 얼만큼 많이 하나요  내가 정말 그대의 마음에 드시나요  참새처럼 떠들어도 여전히 귀여운가요  바쁠때 전화해도 내 목소리 반갑나요  내가 많이 어여쁜가요 진정 날 사랑하나요  난 정말 알고 싶어요 얘기를 해주세요",966,1984,솔로,여성,후크엔터테인먼트,1964.11.11
8,48291,안녕,산울림,"그대 떠나는 날 비가 오는가?",1986.09.10,Rock,장경수,"안녕 귀여운 내친구야 멀리 뱃고동이 울리면 네가 울어주렴 아무도 모르게 모두가 잠든 밤에 혼자서 안녕 내 작은 사랑아 멀리 별들이 빛나면 네가 얘기하렴 아무도 모르게 울면서 멀리멀리 갔다고  안녕 귀여운 내친구야 멀리 뱃고동이 울리면 네가 울어주렴 아무도 모르게 모두가 잠든 밤에 혼자서 안녕 내 작은 사랑아 멀리 별들이 빛나면 네가 얘기하렴 아무도 모르게 울면서 멀리멀리 갔다고 안녕 귀여운 내친구야 멀리 뱃고동이 울리면 네가 울어주렴 아무도 모르게 모두가 잠든 밤에 혼자서 안녕 내 작은 사랑아 멀리 별들이 빛나면 네가 얘기하렴 아무도 모르게 울면서 멀리멀리 갔다고  안녕 귀여운 내친구야 멀리 뱃고동이 울리면 네가 울어주렴 아무도 모르게 모두가 잠든 밤에 혼자서 안녕 내 작은 사랑아 멀리 별들이 빛나면 네가 얘기하렴 아무도 모르게 울면서 멀리멀리 갔다고",101013,1977.12,그룹,남성,,
7,48309,부부,부부듀엣,"부부 베스트",1994.10.01,"Adult Contemporary",장경수,"정 하나로 살아온 세월",100033,1987.01.15,그룹,혼성,,
3,48360,J에게,이선희,"아! 옛날이여",1985.01.25,Ballad,이세건,"J 스치는 바람에 J 그대 모습 보이면  난 오늘도 조용히 그댈 그리워하네  J 지난밤 꿈속에 J 만났던 모습은  내 가슴 속깊이 여울져 남아 있네   J 아름다운 여름날이 멀리 사라졌다 해도  J 나의 사랑은 아직도 변함 없는데  j 난 너를 못잊어 J 난 너를 사랑해   J 우리가 걸었던 J 추억의 그 길을  난 이밤도 쓸쓸히 쓸쓸히 걷고 있네   J 아름다운 여름날이 멀리 사라졌다 해도  J 나의 사랑은 아직도 변함 없는데  j 난 너를 못잊어 J 난 너를 사랑해   J 우리가 걸었던 J 추억의 그길을  난 이밤도 쓸쓸히 쓸쓸히 걷고 있네   쓸쓸히 걷고 있네 -",966,1984,솔로,여성,후크엔터테인먼트,1964.11.11
7,48361,"아! 옛날이여",이선희,"아! 옛날이여",1985.01.25,Ballad,송수욱,"이젠 내 곁을 떠나간 아쉬운 그대기에 마음 속의 그대를 못 잊어 그려본다 달빛 물든 속삭임 별빛 속에 그 밀어 안개처럼 밀려와 파도처럼 꺼져간다 아 옛날이여 지난시절 다시 올 수 없나 그날 아니야 이제는 잊어야지 아름다운 사연들 구름속에 묻으리 모두 다 꿈이라고  아 옛날이여 지난시절 다시 올 수 없나 그날 아 옛날이여 지난시절 다시 올 수 없나 그날 오 오 오 아 옛날이여 지난시절 다시 올 수 없나 그날 그 날이여",966,1984,솔로,여성,후크엔터테인먼트,1964.11.11
3,48362,갈바람,이선희,"아! 옛날이여",1985.01.25,Ballad,정은이,"내작은 가슴속에 이토록 사무치는 그리움을 남기고 떠나간 그대는 바람 외로움 주고간 갈바람 지금도 두눈가에 맴도는 그대에 포근하던 그눈빛 내마음 자꾸만 자꾸만 그리운 나래를 펴게하네 아하 그대는 갈바람 구름을 만드는 갈바람 아하 그대는 갈바람 내마음 아사간 갈바람 내작은 가슴속에 이토록 사무치는 그리움을 남기고 가버린 그대는 바람 외로움 주고간 갈바람  아하 그대는 갈바람 구름을 만드는 갈바람 아하 그대는 갈바람 내마음 아사간 갈바람 내작은 가슴속에 이토록 사무치는 그리움을 남기고 가버린 그대는 바람 외로움 주고간 갈바람 외로움 주고간 갈바람",966,1984,솔로,여성,후크엔터테인먼트,1964.11.11
